artist_name,label,source_url
2Pac,Interscope Records,https://interscope.com/?srsltid=AfmBOor_pBYyyjsYkgZgEZ8cDzo1zmHwSxbTZuygAYq0kGv6QYckfK39
2hollis,Interscope Records,https://interscope.com/?srsltid=AfmBOor_pBYyyjsYkgZgEZ8cDzo1zmHwSxbTZuygAYq0kGv6QYckfK39
42 Dugg,Interscope Records,https://interscope.com/?srsltid=AfmBOor_pBYyyjsYkgZgEZ8cDzo1zmHwSxbTZuygAYq0kGv6QYckfK39
5 Seconds of Summer,Republic Records,https://www.republicrecords.com/pages/artists
6LACK,Interscope Records,https://interscope.com/?srsltid=AfmBOor_pBYyyjsYkgZgEZ8cDzo1zmHwSxbTZuygAYq0kGv6QYckfK39
ABBA,Polydor (UK),https://polydor.co.uk/collections/all-artists
AJR,Island Records (UK),https://www.islandrecords.co.uk/artists/
AP Dhillon,Republic Records,https://www.republicrecords.com/pages/artists
AU/RA,Island Records (US),https://www.islandrecords.com/pages/artist-hub
AURORA,Decca Records,https://shop.decca.com/pages/artists
Aaron Hibell,Astralwerks,https://www.astralwerks.com/artists/
Agnes Obel,Decca Records,https://shop.decca.com/pages/artists
Alabama Shakes,Island Records (US),https://www.islandrecords.com/pages/artist-hub
Alan Jackson,UMG Nashville,https://www.umgnashville.com/
Alejandro Fernández,Universal Musica (UMLE),https://www.universalmusica.com/artists/
Alex Sensation,Universal Musica (UMLE),https://www.universalmusica.com/artists/
Alice Coltrane,Impulse! Records,https://www.impulserecords.com/artists/
Alison Wonderland,Republic Records,https://www.republicrecords.com/pages/artists
Alvaro Diaz,Universal Musica (UMLE),https://www.universalmusica.com/artists/
Amaarae,Interscope Records,https://interscope.com/?srsltid=AfmBOor_pBYyyjsYkgZgEZ8cDzo1zmHwSxbTZuygAYq0kGv6QYckfK39
Amber Mark,Interscope Records,https://interscope.com/?srsltid=AfmBOor_pBYyyjsYkgZgEZ8cDzo1zmHwSxbTZuygAYq0kGv6QYckfK39
Amelia Moore,Republic Records,https://www.republicrecords.com/pages/artists
Amirah,Interscope Records,https://interscope.com/?srsltid=AfmBOor_pBYyyjsYkgZgEZ8cDzo1zmHwSxbTZuygAYq0kGv6QYckfK39
Amy Winehouse,Republic Records,https://www.republicrecords.com/pages/artists
Andrea Bocelli,Decca Records,https://shop.decca.com/pages/artists
Andrew Lloyd Webber,Decca Records,https://shop.decca.com/pages/artists
Andry Kiddos,Universal Musica (UMLE),https://www.universalmusica.com/artists/
Angèle,Island Records (US),https://www.islandrecords.com/pages/artist-hub
Anitta,Republic Records,https://www.republicrecords.com/pages/artists
Anne Wilson,UMG Nashville,https://www.umgnashville.com/
Any Gabrielly,Republic Records,https://www.republicrecords.com/pages/artists
Anyma,Interscope Records,https://interscope.com/?srsltid=AfmBOor_pBYyyjsYkgZgEZ8cDzo1zmHwSxbTZuygAYq0kGv6QYckfK39
Ari Lennox,Interscope Records,https://interscope.com/?srsltid=AfmBOor_pBYyyjsYkgZgEZ8cDzo1zmHwSxbTZuygAYq0kGv6QYckfK39
Arin Ray,Interscope Records,https://interscope.com/?srsltid=AfmBOor_pBYyyjsYkgZgEZ8cDzo1zmHwSxbTZuygAYq0kGv6QYckfK39
Arooj Aftab,Verve Records,https://www.ververecords.com/verve/artists/
ArrDee,Island Records (UK),https://www.islandrecords.co.uk/artists/
Art Blakey,Blue Note Records,https://www.bluenote.com/artists/
BTS,Polydor (UK),https://polydor.co.uk/collections/all-artists
Bad Gyal,Universal Musica (UMLE),https://www.universalmusica.com/artists/
Beastie Boys,Polydor (UK),https://polydor.co.uk/collections/all-artists
Becky Hill,Polydor (UK),https://polydor.co.uk/collections/all-artists
Ben Howard,Island Records (UK),https://www.islandrecords.co.uk/artists/
Benee,Island Records (UK),https://www.islandrecords.co.uk/artists/
Billie Eilish,Interscope Records,https://interscope.com/?srsltid=AfmBOor_pBYyyjsYkgZgEZ8cDzo1zmHwSxbTZuygAYq0kGv6QYckfK39
Billy Currington,UMG Nashville,https://www.umgnashville.com/
Billy Porter,Republic Records,https://www.republicrecords.com/pages/artists
Black Eyed Peas,Polydor (UK),https://polydor.co.uk/collections/all-artists
Blackpink,Interscope Records,https://interscope.com/?srsltid=AfmBOor_pBYyyjsYkgZgEZ8cDzo1zmHwSxbTZuygAYq0kGv6QYckfK39
Blake Mills / Pino Palladino,Impulse! Records,https://www.impulserecords.com/artists/
Blu DeTiger,Capitol Records,https://www.capitolrecords.com/
Blue Note All-Stars,Blue Note Records,https://www.bluenote.com/artists/
Bluewerks,Astralwerks,https://www.astralwerks.com/artists/
Bob Marley,Island Records (US),https://www.islandrecords.com/pages/artist-hub
Bobbi Humphrey,Blue Note Records,https://www.bluenote.com/artists/
Bobby Hutcherson,Blue Note Records,https://www.bluenote.com/artists/
Bobby McFerrin,Blue Note Records,https://www.bluenote.com/artists/
Bon Jovi,Island Records (US),https://www.islandrecords.com/pages/artist-hub
Brad Paisley,UMG Nashville,https://www.umgnashville.com/
Brandee Younger,Impulse! Records,https://www.impulserecords.com/artists/
Brian Blade,Blue Note Records,https://www.bluenote.com/artists/
Brian Eno,Decca Records,https://shop.decca.com/pages/artists
Brittany Howard,Island Records (US),https://www.islandrecords.com/pages/artist-hub
Brokix,Universal Musica (UMLE),https://www.universalmusica.com/artists/
Brothers Osborne,UMG Nashville,https://www.umgnashville.com/
Brray,Universal Musica (UMLE),https://www.universalmusica.com/artists/
Bud Powell,Blue Note Records,https://www.bluenote.com/artists/
CHVRCHES,Island Records (US),https://www.islandrecords.com/pages/artist-hub
Caity Baser,Polydor (UK),https://polydor.co.uk/collections/all-artists
Cali y El Dandee,Universal Musica (UMLE),https://www.universalmusica.com/artists/
Calum Bowie,Polydor (UK),https://polydor.co.uk/collections/all-artists
Carin Leon,Island Records (US),https://www.islandrecords.com/pages/artist-hub
Carly Rae Jepsen,Polydor (UK),https://polydor.co.uk/collections/all-artists
Carrie Underwood,UMG Nashville,https://www.umgnashville.com/
Celeste,Polydor (UK),https://polydor.co.uk/collections/all-artists
Chappell Roan,Island Records (US),https://www.islandrecords.com/pages/artist-hub
Charley Crockett,Island Records (US),https://www.islandrecords.com/pages/artist-hub
CharlieOnnaFriday,Island Records (US),https://www.islandrecords.com/pages/artist-hub
Chris Botti,Blue Note Records,https://www.bluenote.com/artists/
Chris Jedi,Universal Musica (UMLE),https://www.universalmusica.com/artists/
Chris Lake,Astralwerks,https://www.astralwerks.com/artists/
Chris Stapleton,Decca Records,https://shop.decca.com/pages/artists
Cian Ducrot,Polydor (UK),https://polydor.co.uk/collections/all-artists
Claudio Abbado,Deutsche Grammophon,https://www.deutschegrammophon.com/en/artists/a-z
Clavish,Polydor (UK),https://polydor.co.uk/collections/all-artists
