domain,entity_type,region,notes
umusic.com,UMG Corporate,Global,Primary Universal Music Group corporate site
universalmusic.com,UMG Corporate,Global,Global consumer-facing portal
universal-music.de,UMG Corporate,Germany,German market hub
umgnashville.com,Label,United States,Country music division site
interscope.com,Label,United States,Interscope Records label site
defjam.com,Label,United States,Def Jam Recordings label site
islandrecords.com,Label,Global,Island Records label presence
polydor.co.uk,Label,United Kingdom,Polydor Records UK site
republicrecords.com,Label,United States,Republic Records label site
arianagrande.com,Artist,Global,Ariana Grande official artist domain
billieeilish.com,Artist,Global,Billie Eilish official artist domain
